DATE,DGS10
1992-01-01,7.0088446215139442
1993-01-01,5.8662800000000000
1994-01-01,7.0851807228915663
1995-01-01,6.5739200000000000
1996-01-01,6.4435317460317460
1997-01-01,6.3539600000000000
1998-01-01,5.2628800000000000
1999-01-01,5.6461354581673307
2000-01-01,6.0302788844621514
2001-01-01,5.0206854838709677
2002-01-01,4.6130800000000000
2003-01-01,4.0138800000000000
2004-01-01,4.2713200000000000
2005-01-01,4.2888800000000000
2006-01-01,4.7950000000000000
2007-01-01,4.6346613545816733
2008-01-01,3.6642629482071713
2009-01-01,3.2641200000000000
2010-01-01,3.2150597609561753
2011-01-01,2.7816400000000000
2012-01-01,1.8034400000000000
2013-01-01,2.3501600000000000
2014-01-01,2.5395600000000000
2015-01-01,2.1382868525896414
2016-01-01,1.8374400000000000
2017-01-01,2.3294800000000000
2018-01-01,2.9112449799196787
2019-01-01,2.1414000000000000
2020-01-01,0.88920318725099601594
2021-01-01,1.4468525896414343
2022-01-01,2.9505622489959839
2023-01-01,3.9590000000000000
